n_estimators,max_depth,min_samples_split,min_weight_fraction_leaf,ccp_alpha,oob_score,max_features,r2score_train,mse_train,acc_train,r2score_val,mse_val,acc_val,time
1000,17,2,0,0,True,log2,0.9214184175518776,0.0593899029515221,0.9480157296345656,0.4867666293276154,0.3874746367958537,0.646033813564897,6.499114990234375
1000,17,2,0,0,True,sqrt,0.9214184175518776,0.0593899029515221,0.9480157296345656,0.4867666293276154,0.3874746367958537,0.646033813564897,6.381387233734131
1000,20,3,0,0,True,sqrt,0.9180517462716417,0.0619320708672382,0.9423875479210884,0.4858039184582458,0.3882047761550537,0.6466266692980724,6.108530044555664
1000,20,3,0,0,True,log2,0.9180517462716417,0.0619320708672382,0.9423875479210884,0.4858039184582458,0.3882047761550537,0.6466266692980724,6.09149980545044
1000,16,2,0,0,True,sqrt,0.9146385691695323,0.0645136251076885,0.9395741152080558,0.4852518073657951,0.3886199049910565,0.6430721663048483,6.305900573730469
1000,16,2,0,0,True,log2,0.9146385691695323,0.0645136251076885,0.9395741152080558,0.4852518073657951,0.3886199049910565,0.6430721663048483,6.240498781204224
1000,21,3,0,0,True,sqrt,0.9189040710659104,0.0612874945233469,0.9431280254043471,0.4851262106880896,0.3887107479382961,0.6492922834024077,6.124906539916992
1000,21,3,0,0,True,log2,0.9189040710659104,0.0612874945233469,0.9431280254043471,0.4851262106880896,0.3887107479382961,0.6492922834024077,6.090499877929688
1000,22,3,0,0,True,log2,0.9194771453300398,0.0608544876778072,0.943424190071902,0.4848723950534651,0.3889082241808811,0.6463301098611933,6.110135316848755
1000,22,3,0,0,True,sqrt,0.9194771453300398,0.0608544876778072,0.943424190071902,0.4848723950534651,0.3889082241808812,0.6463301098611933,6.159620523452759
1000,23,3,0,0,True,sqrt,0.9197092879225718,0.0606783808734135,0.9450529641147144,0.4847732784143448,0.3889842917118757,0.648108150779554,6.134521007537842
1000,23,3,0,0,True,log2,0.9197092879225718,0.0606783808734135,0.9450529641147144,0.4847732784143448,0.3889842917118757,0.648108150779554,6.1394126415252686
